epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5215,0.85861,3.42041,0.98193,0.16427,0.76972,0.28765,0.25484,0.51538,3.47532,0.80922,9.996e-05,9.996e-05,9.996e-05
2,43.7442,0.54537,2.20708,0.89101,0.1913,0.82127,0.30533,0.30314,0.26337,2.85635,0.77291,0.000196811,0.000196811,0.000196811
3,64.6704,0.45349,1.99037,0.84347,0.15687,0.39992,0.20707,0.18113,0.37858,3.48102,0.79528,0.000283058,0.000283058,0.000283058
4,85.5043,0.40329,1.88447,0.834,0.1114,0.61727,0.14237,0.13553,0.33226,8.61897,0.77308,0.000358703,0.000358703,0.000358703
5,106.289,0.49057,1.70999,0.84399,0.08275,0.73364,0.12057,0.11501,0.32825,9.69198,0.77502,0.000423745,0.000423745,0.000423745
6,127.73,0.42716,1.89505,0.88681,0.11203,0.63697,0.14605,0.13468,0.37154,6.6984,0.78656,0.000478184,0.000478184,0.000478184
7,149.377,0.48419,2.19267,0.87869,0.11391,0.59783,0.12919,0.12141,0.36081,34.2234,0.78976,0.000501942,0.000501942,0.000501942
8,163.989,0.39477,2.15711,0.83508,0.09729,0.38035,0.10661,0.10088,0.4584,1145.97,0.87131,0.000466599,0.000466599,0.000466599
9,175.899,0.3905,2.17354,0.84859,0.10878,0.54071,0.10221,0.09494,0.38012,807.345,0.83676,0.000431256,0.000431256,0.000431256
10,187.787,0.35153,1.64936,0.8493,0.28043,0.30442,0.30625,0.29189,0.28752,163.315,0.7752,0.000395913,0.000395913,0.000395913
11,199.998,0.30893,2.81321,0.7972,0.28043,0.30442,0.30625,0.29189,0.28752,163.315,0.7752,0.00036057,0.00036057,0.00036057
12,211.854,0.36344,1.94844,0.8488,0.14896,0.38431,0.22985,0.2179,0.33004,9.36572,0.78425,0.000325227,0.000325227,0.000325227
13,223.653,0.33471,1.79361,0.82028,0.6227,0.53369,0.48774,0.46653,0.30554,1.54816,0.77383,0.000289884,0.000289884,0.000289884
14,235.391,0.31355,1.67724,0.79258,0.31387,0.84349,0.50086,0.48885,0.29273,1.98592,0.76103,0.000254541,0.000254541,0.000254541
15,247.139,0.28391,1.57057,0.81179,0.2024,0.84919,0.19608,0.19218,0.26639,3.42793,0.75974,0.000219198,0.000219198,0.000219198
16,258.757,0.29111,1.478,0.7822,0.20093,0.75651,0.24508,0.24159,0.23386,2.04331,0.75571,0.000183855,0.000183855,0.000183855
17,270.385,0.26579,1.4327,0.79694,0.19786,0.56666,0.25928,0.2538,0.24165,1.91336,0.7578,0.000148512,0.000148512,0.000148512
18,282.013,0.2543,1.37526,0.79881,0.39947,0.62844,0.52864,0.52231,0.23279,1.31527,0.75627,0.000113169,0.000113169,0.000113169
19,293.71,0.27905,1.35735,0.78499,0.39877,0.63288,0.53048,0.52398,0.21926,1.27498,0.75173,7.7826e-05,7.7826e-05,7.7826e-05
20,305.468,0.2491,1.2934,0.79439,0.42373,0.66136,0.53256,0.52412,0.21615,1.28219,0.75118,4.2483e-05,4.2483e-05,4.2483e-05
