epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.497,0.85439,3.32144,0.99655,0.19245,0.86778,0.26102,0.23002,0.53481,2.54772,0.80901,9.996e-05,9.996e-05,9.996e-05
2,26.9597,0.51262,2.26756,0.85107,0.09336,0.38354,0.10458,0.10035,0.31715,12.4153,0.82065,0.000196811,0.000196811,0.000196811
3,40.1564,0.41542,2.11449,0.85296,0.10682,0.44848,0.15233,0.13397,0.37116,5.74827,0.82913,0.000283058,0.000283058,0.000283058
4,53.2958,0.39096,1.99004,0.84647,0.08164,0.58139,0.13115,0.1254,0.32573,3.16858,0.82868,0.000358703,0.000358703,0.000358703
5,66.2264,0.41358,2.2347,0.85131,0.34976,0.5707,0.23376,0.20878,0.37743,2.86972,0.8247,0.000423745,0.000423745,0.000423745
6,79.1427,0.38643,1.93291,0.85479,0.12776,0.55648,0.18591,0.15893,0.33938,2.55448,0.81338,0.000478184,0.000478184,0.000478184
7,92.182,0.35711,2.13841,0.82948,0.36367,0.65458,0.21516,0.19797,0.36045,3.21222,0.81591,0.000501942,0.000501942,0.000501942
8,105.118,0.43993,2.7618,0.8649,0.22437,0.76889,0.18258,0.17262,0.34309,2.66176,0.80648,0.000466599,0.000466599,0.000466599
9,118.039,0.42834,1.80159,0.86139,0.25432,0.76556,0.29716,0.28854,0.29327,1.89482,0.76716,0.000431256,0.000431256,0.000431256
10,131.044,0.37139,1.76305,0.82868,0.25064,0.69586,0.31293,0.30588,0.28231,2.21967,0.76364,0.000395913,0.000395913,0.000395913
11,143.938,0.35852,2.36698,0.80456,0.25064,0.69586,0.31293,0.30588,0.28231,2.21967,0.76364,0.00036057,0.00036057,0.00036057
12,156.987,0.38467,1.65493,0.84881,0.23959,0.69283,0.32995,0.29883,0.32094,1.84491,0.77289,0.000325227,0.000325227,0.000325227
13,169.909,0.31398,1.70707,0.80356,0.24105,0.72908,0.38504,0.36545,0.25419,1.69147,0.76119,0.000289884,0.000289884,0.000289884
14,182.9,0.29276,1.58602,0.80523,0.29118,0.63899,0.39503,0.37233,0.26605,1.6279,0.75862,0.000254541,0.000254541,0.000254541
15,195.91,0.28129,1.50297,0.8233,0.32201,0.71745,0.47878,0.45607,0.24731,1.59553,0.75813,0.000219198,0.000219198,0.000219198
16,208.957,0.27401,1.42042,0.81216,0.5209,0.59679,0.54077,0.52798,0.23885,1.50769,0.75289,0.000183855,0.000183855,0.000183855
17,221.923,0.27348,1.45712,0.80776,0.46935,0.63296,0.57233,0.55679,0.24912,1.48097,0.75259,0.000148512,0.000148512,0.000148512
18,234.881,0.25797,1.3602,0.79573,0.42795,0.65296,0.57357,0.56082,0.23457,1.41204,0.75183,0.000113169,0.000113169,0.000113169
19,247.89,0.24035,1.33345,0.79867,0.36693,0.65455,0.5734,0.55937,0.2124,1.33804,0.75057,7.7826e-05,7.7826e-05,7.7826e-05
20,260.902,0.23037,1.26777,0.79841,0.39016,0.66482,0.57508,0.56148,0.19593,1.30645,0.74962,4.2483e-05,4.2483e-05,4.2483e-05
