epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.49443,0.77476,2.70923,1.10996,0.964,0.53289,0.70674,0.45891,0.91193,1.22913,0.78459,1.818e-05,1.818e-05,1.818e-05
2,3.05973,0.74007,2.03429,1.14581,0.91164,0.56829,0.6851,0.48112,0.95163,1.08409,0.78325,4.32002e-05,4.32002e-05,4.32002e-05
3,4.56716,0.58991,1.36442,1.03738,0.8395,0.50568,0.66005,0.45162,0.94905,1.13705,0.78145,6.55207e-05,6.55207e-05,6.55207e-05
4,6.07704,0.64472,1.3803,1.21596,0.78239,0.44918,0.62209,0.43828,0.96673,1.18944,0.78266,8.51415e-05,8.51415e-05,8.51415e-05
5,7.58084,0.51077,1.09862,1.01391,0.77155,0.3662,0.52129,0.35642,1.04325,1.37513,0.7886,0.000102063,0.000102063,0.000102063
6,9.15439,0.69852,1.10166,1.05453,0.72871,0.3753,0.51376,0.3503,1.10169,1.55578,0.79407,0.000116284,0.000116284,0.000116284
7,10.6405,0.5473,0.92595,1.00244,0.81908,0.38636,0.54858,0.35513,1.14903,1.69398,0.8039,0.000127805,0.000127805,0.000127805
8,12.1323,0.62595,1.04101,1.04046,0.67759,0.38636,0.50849,0.34249,1.16693,1.69747,0.81887,0.000136627,0.000136627,0.000136627
9,13.5746,0.71045,1.22169,1.10635,0.67759,0.38636,0.50849,0.34249,1.16693,1.69747,0.81887,0.000142749,0.000142749,0.000142749
10,15.0792,0.58768,0.95534,1.03334,0.75181,0.38425,0.54926,0.37514,1.17394,1.55412,0.82708,0.000146172,0.000146172,0.000146172
11,16.5338,0.51166,1.04445,0.77835,0.75181,0.38425,0.54926,0.37514,1.17394,1.55412,0.82708,0.000146894,0.000146894,0.000146894
12,18.0443,0.46761,1.18162,0.84738,0.75455,0.4072,0.59758,0.38203,1.18364,1.38702,0.83091,0.000144917,0.000144917,0.000144917
13,19.484,0.36563,1.28386,0.7681,0.75455,0.4072,0.59758,0.38203,1.18364,1.38702,0.83091,0.000140241,0.000140241,0.000140241
14,20.9672,0.34652,1.09853,0.83279,0.6424,0.55337,0.5839,0.37944,1.27176,1.33096,0.83416,0.000132864,0.000132864,0.000132864
15,22.4721,0.49773,0.90297,0.82085,0.6424,0.55337,0.5839,0.37944,1.27176,1.33096,0.83416,0.000122788,0.000122788,0.000122788
16,23.9204,0.43637,0.90295,0.86468,0.6424,0.55337,0.5839,0.37944,1.27176,1.33096,0.83416,0.000110012,0.000110012,0.000110012
17,25.4088,0.38402,0.8944,0.86361,0.76302,0.35045,0.56728,0.36729,1.2828,1.31664,0.83102,9.4536e-05,9.4536e-05,9.4536e-05
18,26.8619,0.44124,1.05836,0.85863,0.76302,0.35045,0.56728,0.36729,1.2828,1.31664,0.83102,7.63605e-05,7.63605e-05,7.63605e-05
19,28.2947,0.37805,0.78874,0.89796,0.76302,0.35045,0.56728,0.36729,1.2828,1.31664,0.83102,5.54854e-05,5.54854e-05,5.54854e-05
20,29.7796,0.41593,1.21532,0.81129,0.71963,0.39773,0.56038,0.36967,1.26192,1.29319,0.82448,3.19104e-05,3.19104e-05,3.19104e-05
