epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.895,1.30162,4.13943,1.04586,0.5327,0.31667,0.24842,0.14606,0.87806,2.61884,0.85794,7.777e-05,7.777e-05,7.777e-05
2,3.75976,0.75871,2.49338,0.90578,0.20398,0.74444,0.31586,0.26575,0.94067,2.88128,0.82757,0.000158401,0.000158401,0.000158401
3,5.59775,0.79818,2.09936,0.93578,0.26127,0.54802,0.26772,0.20402,1.19577,2.95091,0.86054,0.000230233,0.000230233,0.000230233
4,7.38971,0.84647,1.74037,0.94293,0.10839,0.52222,0.18714,0.15502,1.08392,2.60136,0.84651,0.000293265,0.000293265,0.000293265
5,9.17793,0.75255,1.79757,1.02736,0.18986,0.57222,0.17991,0.15704,0.91847,2.34612,0.84876,0.000347499,0.000347499,0.000347499
6,10.9739,0.64731,1.71166,0.93097,0.65171,0.46667,0.45622,0.41215,0.86274,2.03708,0.86562,0.000392933,0.000392933,0.000392933
7,12.7784,0.71294,1.40006,0.94505,0.7078,0.47769,0.57866,0.51759,0.90388,2.23603,0.87322,0.000429568,0.000429568,0.000429568
8,14.5792,0.63498,1.33184,0.89173,0.6103,0.55327,0.50432,0.45993,0.80631,2.14413,0.86547,0.000457404,0.000457404,0.000457404
9,16.4806,0.60087,1.13494,0.91702,0.85098,0.52222,0.59238,0.55668,0.79149,1.64892,0.86986,0.000476441,0.000476441,0.000476441
10,18.2658,0.49257,1.17076,0.86465,0.85098,0.52222,0.59238,0.55668,0.79149,1.64892,0.86986,0.000486679,0.000486679,0.000486679
11,20.0697,0.53433,1.28801,0.88082,0.90323,0.44215,0.61732,0.57423,0.7438,1.48068,0.87268,0.000488118,0.000488118,0.000488118
12,21.9063,0.57214,1.3001,0.92312,0.90323,0.44215,0.61732,0.57423,0.7438,1.48068,0.87268,0.000480757,0.000480757,0.000480757
13,23.7175,0.51037,1.14399,0.86392,0.94283,0.44219,0.60175,0.55717,0.7562,1.42358,0.88548,0.000451066,0.000451066,0.000451066
14,25.4772,0.46074,1.03326,0.85595,0.94283,0.44219,0.60175,0.55717,0.7562,1.42358,0.88548,0.000396071,0.000396071,0.000396071
15,27.2645,0.48225,0.98294,0.84665,0.94083,0.44284,0.61192,0.54192,0.77997,1.38147,0.89059,0.000341077,0.000341077,0.000341077
16,29.0148,0.4552,0.9846,0.86505,0.94083,0.44284,0.61192,0.54192,0.77997,1.38147,0.89059,0.000286083,0.000286083,0.000286083
17,30.7912,0.46382,1.02015,0.87395,0.94913,0.44641,0.60908,0.54381,0.81245,1.32871,0.89685,0.000231088,0.000231088,0.000231088
18,32.5416,0.45177,0.82127,0.89104,0.94913,0.44641,0.60908,0.54381,0.81245,1.32871,0.89685,0.000176094,0.000176094,0.000176094
19,34.3215,0.45099,0.96949,0.83977,0.93839,0.44901,0.60497,0.54382,0.79809,1.31392,0.90093,0.000121099,0.000121099,0.000121099
20,36.1339,0.45156,0.91947,0.86925,0.93839,0.44901,0.60497,0.54382,0.79809,1.31392,0.90093,6.61045e-05,6.61045e-05,6.61045e-05
