epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.22813,1.77281,72.6712,1.99818,0,0,0,0,0,32.4635,0,2e-05,2e-05,2e-05
2,6.98196,2.69682,31.1095,2.80673,0,0,0,0,0,67.6793,0,5.8812e-05,5.8812e-05,5.8812e-05
3,9.82359,1.66381,7.74046,1.84263,0,0,0,0,0,78.5918,0,9.604e-05,9.604e-05,9.604e-05
4,12.52,1.35543,65.6267,1.21633,0,0,0,0,0,73.2717,0,0.000131684,0.000131684,0.000131684
5,15.3757,1.48477,9.61265,1.5747,0,0,0,0,0,80.1033,0,0.000165744,0.000165744,0.000165744
6,18.2349,2.32541,12.8461,2.0456,0,0,0,0,0,73.3496,0,0.00019822,0.00019822,0.00019822
7,20.9939,0.69098,25.7614,0.84486,0,0,0,0,0,62.6851,0,0.000229112,0.000229112,0.000229112
8,23.7247,0.74267,20.5869,0.73034,0,0,0,0,0,76.4343,0,0.00025842,0.00025842,0.00025842
9,26.3963,1.07417,18.5439,1.26415,0,0,0,0,0,84.352,0,0.000286144,0.000286144,0.000286144
10,29.2994,2.43936,7.97635,2.4538,0,0,0,0,0,113.771,0,0.000312284,0.000312284,0.000312284
11,32.3469,1.33271,4.90526,1.50768,0,0,0,0,0,61.0286,0,0.00033684,0.00033684,0.00033684
12,35.0925,1.40423,3.09116,1.5105,0,0,0,0,0,61.0286,0,0.000359812,0.000359812,0.000359812
13,37.8702,2.24814,6.4892,1.97476,0,0,0,0,0,42.921,0,0.0003812,0.0003812,0.0003812
14,40.8354,1.72287,5.75478,1.64438,0,0,0,0,0,25.8639,0,0.000401004,0.000401004,0.000401004
15,43.8298,1.74456,4.34079,1.93254,0,0,0,0,0,25.8639,0,0.000419224,0.000419224,0.000419224
