epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67916,0.84653,153.891,0.9412,0,0,0,0,0,32.4601,0,2e-05,2e-05,2e-05
2,5.5004,2.02525,17.0299,2.20088,0,0,0,0,0,77.885,0,5.8812e-05,5.8812e-05,5.8812e-05
3,8.44422,3.7535,33.8809,3.38648,0,0,0,0,0,94.0419,0,9.604e-05,9.604e-05,9.604e-05
4,11.3484,1.71353,5.98897,1.59471,0,0,0,0,0,101.364,0,0.000131684,0.000131684,0.000131684
5,14.2007,1.04261,12.9472,1.34981,0,0,0,0,0,93.5728,0,0.000165744,0.000165744,0.000165744
6,16.9603,1.91151,15.296,2.60942,0,0,0,0,0,74.2852,0,0.00019822,0.00019822,0.00019822
7,19.8502,1.11516,6.70445,1.29427,0,0,0,0,0,72.3773,0,0.000229112,0.000229112,0.000229112
8,22.8763,1.30892,6.37865,1.65954,0,0,0,0,0,68.4534,0,0.00025842,0.00025842,0.00025842
9,25.8221,1.17948,6.01069,1.52353,0,0,0,0,0,57.5087,0,0.000286144,0.000286144,0.000286144
10,28.8715,1.67163,5.78449,1.59596,0,0,0,0,0,36.3411,0,0.000312284,0.000312284,0.000312284
11,32.0357,1.34496,4.28221,1.34422,0,0,0,0,0,26.7588,0,0.00033684,0.00033684,0.00033684
12,34.8602,1.459,4.88224,1.93163,0,0,0,0,0,26.7588,0,0.000359812,0.000359812,0.000359812
13,37.626,1.11824,4.6392,1.40934,0,0,0,0,0,52.3029,0,0.0003812,0.0003812,0.0003812
14,40.4583,1.60897,8.8428,2.12239,0,0,0,0,0,189.209,0,0.000401004,0.000401004,0.000401004
15,43.3445,1.79329,6.24664,1.74805,0,0,0,0,0,189.209,0,0.000419224,0.000419224,0.000419224
16,46.5571,1.12194,3.07877,1.36297,0,0,0,0,0,31.8689,0,0.00043586,0.00043586,0.00043586
17,49.3928,0.61021,8.95713,0.77455,0,0,0,0,0,79.9026,0,0.000450912,0.000450912,0.000450912
18,52.1179,1.13137,3.52177,1.47385,0,0,0,0,0,79.9026,0,0.00046438,0.00046438,0.00046438
19,54.7881,0.52204,14.7972,0.79048,0,0,0,0,0,333.314,0,0.000476264,0.000476264,0.000476264
20,57.5268,1.57967,3.86279,1.68324,0,0,0,0,0,333.314,0,0.000486564,0.000486564,0.000486564
21,60.242,0.57181,6.71954,0.67665,0,0,0,0,0,49.8426,0,0.00049528,0.00049528,0.00049528
22,62.8679,0.30604,5.72202,0.56885,0,0,0,0,0,49.8426,0,0.000502412,0.000502412,0.000502412
23,65.5523,0.61237,5.91672,0.72551,0,0,0,0,0,17.4369,0,0.00050796,0.00050796,0.00050796
24,68.2607,0.91521,3.59961,1.30428,0,0,0,0,0,17.4369,0,0.000511924,0.000511924,0.000511924
25,71.2916,0.64225,5.84834,0.75462,0,0,0,0,0,32.8222,0,0.000514304,0.000514304,0.000514304
26,74.1779,1.25883,2.90334,1.39019,0,0,0,0,0,32.8222,0,0.0005151,0.0005151,0.0005151
