epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.53578,2.65253,15.4827,2.56665,0,0,0,0,0,18.5333,0,0,0,0
2,2.89257,3.59625,21.4252,3.21896,0,0,0,0,0,18.5467,0,1.802e-05,1.802e-05,1.802e-05
3,4.23096,2.63739,25.2351,2.70679,0,0,0,0,0,18.5612,0,3.208e-05,3.208e-05,3.208e-05
4,5.50497,1.89959,14.9378,2.11608,0,0,0,0,0,18.5719,0,4.218e-05,4.218e-05,4.218e-05
5,6.78562,1.35189,10.9941,1.9079,0,0,0,0,0,18.5817,0,4.832e-05,4.832e-05,4.832e-05
6,8.13632,1.66394,13.274,2.11034,0,0,0,0,0,18.5916,0,5.05e-05,5.05e-05,5.05e-05
7,9.4417,1.16108,13.162,1.7608,0,0,0,0,0,18.5973,0,4.872e-05,4.872e-05,4.872e-05
8,10.7289,1.58073,11.3037,1.8183,0,0,0,0,0,18.5999,0,4.298e-05,4.298e-05,4.298e-05
9,12.0571,1.46019,10.5276,2.14762,0,0,0,0,0,18.5998,0,3.328e-05,3.328e-05,3.328e-05
10,13.3437,1.40976,12.2716,2.07874,0,0,0,0,0,18.5982,0,1.962e-05,1.962e-05,1.962e-05
