epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.58468,3.41544,17.2515,3.57906,0,0,0,0,0,18.5331,0,0,0,0
2,2.93233,2.40012,20.0863,2.3031,0,0,0,0,0,18.5466,0,1.802e-05,1.802e-05,1.802e-05
3,4.24921,3.21376,20.7125,3.54643,0,0,0,0,0,18.562,0,3.208e-05,3.208e-05,3.208e-05
4,5.54007,3.43298,16.809,3.49647,0,0,0,0,0,18.5745,0,4.218e-05,4.218e-05,4.218e-05
5,6.82025,2.29743,11.681,2.46837,0,0,0,0,0,18.5859,0,4.832e-05,4.832e-05,4.832e-05
6,8.11223,2.03612,15.712,2.38648,0,0,0,0,0,18.5925,0,5.05e-05,5.05e-05,5.05e-05
7,9.39238,1.37368,11.2455,2.18663,0,0,0,0,0,18.5965,0,4.872e-05,4.872e-05,4.872e-05
8,10.7007,2.10277,14.3763,2.28675,0,0,0,0,0,18.5957,0,4.298e-05,4.298e-05,4.298e-05
9,12.028,1.30767,12.4657,1.98859,0,0,0,0,0,18.597,0,3.328e-05,3.328e-05,3.328e-05
10,13.36,1.78008,11.8816,1.99728,0,0,0,0,0,18.5966,0,1.962e-05,1.962e-05,1.962e-05
